Cash And Cash Equivalents,Current Ratio,Debt / Net Worth,EBITDA Margin,Earnings Before Interest And Tax,Financial Leverage,Gross Profit Margin,Quick Ratio,Return On Assets,Sales / Total Assets,Senior Net Debt,Total Liabilities / Total Assets,Total Net Debt EBITDA,default,year
0,1,9,1,4,9,5,0,6,9,6,8,6,0,2018
0,1,9,1,4,9,5,0,6,9,6,8,6,0,2019
1,1,9,1,4,9,5,0,6,9,6,8,6,0,2020
3,1,7,1,4,9,5,0,6,9,5,8,6,1,2021
2,1,0,1,1,0,8,2,0,4,6,8,8,0,2015
2,5,0,1,2,0,8,4,0,4,8,8,8,1,2016
9,2,0,1,9,7,9,4,5,7,5,6,4,1,2015
8,1,0,1,8,9,4,2,5,7,4,8,3,1,2015
3,0,9,2,5,9,8,0,2,4,6,8,7,0,2015
3,0,9,2,5,9,8,0,0,4,6,8,7,0,2016
3,0,9,2,5,9,8,0,0,4,6,8,7,0,2017
3,0,9,2,5,9,8,0,0,4,6,8,7,0,2018
4,1,9,2,6,9,8,1,0,4,6,8,7,0,2019
3,1,9,2,5,9,8,1,0,4,6,8,7,1,2020
5,5,9,1,0,9,6,4,0,6,6,8,6,1,2015
0,3,9,2,4,7,9,4,2,4,6,6,7,1,2015
7,5,0,1,7,5,4,4,5,7,4,4,3,1,2015
6,5,7,1,7,5,6,4,4,5,6,4,6,1,2015
4,1,8,1,5,9,4,0,2,9,6,8,6,1,2015
0,3,7,1,3,7,4,2,2,9,6,6,6,1,2015
3,6,7,1,2,7,4,6,2,6,6,6,6,1,2015
9,5,1,1,8,7,4,4,2,9,4,6,2,1,2018
8,1,7,1,8,8,5,1,0,6,5,7,6,0,2015
9,1,8,1,8,9,5,1,2,6,6,8,6,0,2016
9,1,2,1,9,8,5,1,2,7,5,7,4,1,2017
4,3,1,1,5,7,4,1,5,9,5,6,4,0,2015
3,5,7,1,5,7,4,2,4,8,5,6,6,1,2016
5,0,9,0,0,9,0,0,0,5,4,8,3,0,2015
5,0,0,0,0,0,0,0,0,5,4,8,3,1,2016
3,6,7,2,4,5,8,6,0,1,8,4,8,1,2017
3,1,2,1,3,7,9,1,2,4,5,6,3,0,2020
4,5,1,2,4,7,9,4,2,3,4,6,3,1,2021
5,1,9,1,6,7,8,1,2,5,6,6,6,0,2015
4,3,7,1,5,5,8,4,0,5,6,4,6,1,2016
6,6,9,1,7,9,8,6,5,6,6,8,6,1,2015
0,0,9,0,0,9,4,0,0,7,2,8,2,1,2015
4,5,9,1,4,9,8,4,2,5,6,8,6,1,2015
7,1,7,1,8,7,6,2,2,6,5,6,6,1,2015
3,7,1,5,0,3,9,7,0,5,5,2,4,1,2017
4,2,2,1,5,7,9,4,2,4,4,6,3,1,2015
